,Gross domestic product 2014,,,,
,,,,,
,,,,(millions of,
,Ranking,,Economy,US dollars),
,,,,,
USA,1,,United States,"17,419,000",
CHN,2,,China,"10,354,832",
JPN,3,,Japan,"4,601,461",
DEU,4,,Germany,"3,868,291",
GBR,5,,United Kingdom,"2,988,893",
FRA,6,,France,"2,829,192",
BRA,7,,Brazil,"2,346,076",
ITA,8,,Italy,"2,141,161",
IND,9,,India,"2,048,517",
RUS,10,,Russian Federation,"1,860,598",a
CAN,11,,Canada,"1,785,387",
AUS,12,,Australia,"1,454,675",
KOR,13,,"Korea, Rep.","1,410,383",
ESP,14,,Spain,"1,381,342",
MEX,15,,Mexico,"1,294,690",
IDN,16,,Indonesia,"888,538",
NLD,17,,Netherlands,"879,319",
TUR,18,,Turkey,"798,429",
SAU,19,,Saudi Arabia,"746,249",
CHE,20,,Switzerland,"701,037",
SWE,21,,Sweden,"571,090",
NGA,22,,Nigeria,"568,508",
POL,23,,Poland,"544,967",
ARG,24,,Argentina,"537,660",
BEL,25,,Belgium,"531,547",
NOR,26,,Norway,"499,817",
AUT,27,,Austria,"436,888",
IRN,28,,"Iran, Islamic Rep.","425,326",
THA,29,,Thailand,"404,824",
ARE,30,,United Arab Emirates,"399,451",
VEN,31,,"Venezuela, RB","381,286",
COL,32,,Colombia,"377,740",
ZAF,33,,South Africa,"350,085",
DNK,34,,Denmark,"342,362",
MYS,35,,Malaysia,"338,104",
SGP,36,,Singapore,"307,860",
ISR,37,,Israel,"305,675",
HKG,38,,"Hong Kong SAR, China","290,896",
EGY,39,,"Egypt, Arab Rep.","286,538",
PHL,40,,Philippines,"284,777",
FIN,41,,Finland,"272,217",
CHL,42,,Chile,"258,062",
IRL,43,,Ireland,"250,814",
PAK,44,,Pakistan,"243,632",
GRC,45,,Greece,"235,574",
PRT,46,,Portugal,"230,117",
IRQ,47,,Iraq,"223,508",
KAZ,48,,Kazakhstan,"217,872",
DZA,49,,Algeria,"213,518",
QAT,50,,Qatar,"210,109",
CZE,51,,Czech Republic,"205,270",
PER,52,,Peru,"202,596",
ROM,53,,Romania,"199,044",
VNM,54,,Vietnam,"186,205",
BGD,55,,Bangladesh,"172,887",
KWT,56,,Kuwait,"163,612",
AGO,57,,Angola,"138,357",
HUN,58,,Hungary,"138,347",
UKR,59,,Ukraine,"131,805",a
MAR,60,,Morocco,"110,009",b
PRI,61,,Puerto Rico,"103,135",
ECU,62,,Ecuador,"100,917",
SVK,63,,Slovak Republic,"100,249",
OMN,64,,Oman,"81,797",
LKA,65,,Sri Lanka,"78,824",
CUB,66,,Cuba,"77,150",
BLR,67,,Belarus,"76,139",
AZE,68,,Azerbaijan,"75,198",
SDN,69,,Sudan,"73,815",b
LUX,70,,Luxembourg,"64,874",
MMR,71,,Myanmar,"64,330",
DOM,72,,Dominican Republic,"64,138",
UZB,73,,Uzbekistan,"62,644",
KEN,74,,Kenya,"60,937",
GTM,75,,Guatemala,"58,827",
URY,76,,Uruguay,"57,471",
HRV,77,,Croatia,"57,113",
BGR,78,,Bulgaria,"56,717",
ETH,79,,Ethiopia,"55,612",
MAC,80,,"Macao SAR, China","55,502",
CRI,81,,Costa Rica,"49,553",
SVN,82,,Slovenia,"49,491",
TUN,83,,Tunisia,"48,613",
LTU,84,,Lithuania,"48,354",
TZA,85,,Tanzania,"48,057",c
TKM,86,,Turkmenistan,"47,932",
PAN,87,,Panama,"46,213",
LBN,88,,Lebanon,"45,731",
SRB,89,,Serbia,"43,866",
LBY,90,,Libya,"41,143",
GHA,91,,Ghana,"38,617",
YEM,92,,"Yemen, Rep.","35,955",
JOR,93,,Jordan,"35,827",
CIV,94,,Cªte d'Ivoire,"34,254",
BHR,95,,Bahrain,"33,851",
ZAR,96,,"Congo, Dem. Rep.","33,121",
BOL,97,,Bolivia,"32,996",
CMR,98,,Cameroon,"32,051",
LVA,99,,Latvia,"31,287",
PRY,100,,Paraguay,"30,881",
TTO,101,,Trinidad and Tobago,"28,883",
ZMB,102,,Zambia,"27,066",
UGA,103,,Uganda,"26,998",
EST,104,,Estonia,"26,485",
SLV,105,,El Salvador,"25,164",
CYP,106,,Cyprus,"23,226",d
AFG,107,,Afghanistan,"20,038",
NPL,108,,Nepal,"19,770",
HND,109,,Honduras,"19,385",
BIH,110,,Bosnia and Herzegovina,"18,286",
GAB,111,,Gabon,"18,180",
BRN,112,,Brunei Darussalam,"17,105",
ISL,113,,Iceland,"17,036",
PNG,114,,Papua New Guinea,"16,929",
KHM,115,,Cambodia,"16,778",
GEO,116,,Georgia,"16,530",e
MOZ,117,,Mozambique,"15,938",
BWA,118,,Botswana,"15,813",
SEN,119,,Senegal,"15,658",
GNQ,120,,Equatorial Guinea,"15,530",
ZWE,121,,Zimbabwe,"14,197",
COG,122,,"Congo, Rep.","14,177",
TCD,123,,Chad,"13,922",
JAM,124,,Jamaica,"13,891",
SSD,125,,South Sudan,"13,282",
ALB,126,,Albania,"13,212",
NAM,127,,Namibia,"12,995",
WBG,128,,West Bank and Gaza,"12,738",
MUS,129,,Mauritius,"12,630",
BFA,130,,Burkina Faso,"12,542",
MLI,131,,Mali,"12,037",
MNG,132,,Mongolia,"12,016",
LAO,133,,Lao PDR,"11,997",
NIC,134,,Nicaragua,"11,806",
ARM,135,,Armenia,"11,644",
MKD,136,,"Macedonia, FYR","11,324",
MDG,137,,Madagascar,"10,593",
MLT,138,,Malta,"9,643",
BEN,139,,Benin,"9,575",
TJK,140,,Tajikistan,"9,242",
HTI,141,,Haiti,"8,713",
BHS,142,,"Bahamas, The","8,511",
NER,143,,Niger,"8,169",
MDA,144,,Moldova,"7,962",f
RWA,145,,Rwanda,"7,890",
KGZ,146,,Kyrgyz Republic,"7,404",
KSV,147,,Kosovo,"7,387",
GIN,148,,Guinea,"6,624",
SOM,149,,Somalia,"5,707",
BMU,150,,Bermuda,"5,574",
LIE,151,,Liechtenstein,"5,488",
SUR,152,,Suriname,"5,210",
MRT,153,,Mauritania,"5,061",
